1	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)	Windows 7	Internet Explorer 9	337,530
2	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)	Windows 7 x64 Edition	Internet Explorer 9	320,286
3	Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.11 (KHTML like Gecko) Chrome/23.0.1271.95 Safari/537.11	Windows XP	Google Chrome 23	206,876
4	Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.11 (KHTML like Gecko) Chrome/23.0.1271.95 Safari/537.11	Windows 7	Google Chrome 23	135,879
5	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML like Gecko) Chrome/26.0.1410.64 Safari/537.31	Windows 7 x64 Edition	Google Chrome 26	107,167
6	Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.11 (KHTML like Gecko) Chrome/23.0.1271.64 Safari/537.11	Windows XP	Google Chrome 23	96,557
7	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)	Windows 7 x64 Edition	Internet Explorer 10	79,140
8	Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.31 (KHTML like Gecko) Chrome/26.0.1410.64 Safari/537.31	Windows 7	Google Chrome 26	70,972
9	Mozilla/5.0 (Windows NT 5.1; rv:16.0) Gecko/20100101 Firefox/16.0	Windows XP	Firefox 16	68,201
10	Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.31 (KHTML like Gecko) Chrome/26.0.1410.64 Safari/537.31	Windows XP	Google Chrome 26	67,643
11	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML like Gecko) Chrome/23.0.1271.95 Safari/537.11	Windows 7 x64 Edition	Google Chrome 23	64,366
12	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)	Windows 7 x64 Edition	Internet Explorer 7	61,543
13	Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.11 (KHTML like Gecko) Chrome/23.0.1271.97 Safari/537.11	Windows XP	Google Chrome 23	61,329
14	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	Windows XP	Internet Explorer 8	59,334
15	Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.11 (KHTML like Gecko) Chrome/23.0.1271.64 Safari/537.11	Windows 7	Google Chrome 23	58,110
16	Mozilla/5.0 (Windows NT 6.1; WOW64; rv:20.0) Gecko/20100101 Firefox/20.0	Windows 7 x64 Edition	Firefox 20	56,167
17	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/28.0.1500.95 Safari/537.36	Windows 7 x64 Edition	Google Chrome 28	55,996
18	Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0	Windows 7 x64 Edition	Firefox 19	54,770
19	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)	Windows Vista	Internet Explorer 9	53,842
20	Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0	Windows 7 x64 Edition	Firefox 12	52,269
21	Mozilla/5.0 (Windows NT 5.1; rv:19.0) Gecko/20100101 Firefox/19.0	Windows XP	Firefox 19	51,819
22	Mozilla/5.0 (Windows NT 5.1; rv:12.0) Gecko/20100101 Firefox/12.0	Windows XP	Firefox 12	50,432
23	Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0	Windows 7 x64 Edition	Firefox 21	49,596
24	Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.11 (KHTML like Gecko) Chrome/23.0.1271.97 Safari/537.11	Windows 7	Google Chrome 23	48,539
25	Mozilla/5.0 (Windows NT 6.1; WOW64; rv:22.0) Gecko/20100101 Firefox/22.0	Windows 7 x64 Edition	Firefox 22	48,177
26	Mozilla/5.0 (Windows NT 6.1; WOW64; rv:16.0) Gecko/20100101 Firefox/16.0	Windows 7 x64 Edition	Firefox 16	46,638
27	Mozilla/5.0 (Windows NT 5.1; rv:20.0) Gecko/20100101 Firefox/20.0	Windows XP	Firefox 20	45,743
28	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.22 (KHTML like Gecko) Chrome/25.0.1364.172 Safari/537.22	Windows 7 x64 Edition	Google Chrome 25	45,615
29	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	Windows XP	Internet Explorer 6	45,049
30	Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.4 (KHTML like Gecko) Chrome/22.0.1229.94 Safari/537.4	Windows XP	Google Chrome 22	44,740
31	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/27.0.1453.116 Safari/537.36	Windows 7 x64 Edition	Google Chrome 27	43,855
32	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML like Gecko) Chrome/23.0.1271.97 Safari/537.11	Windows 7 x64 Edition	Google Chrome 23	43,027
33	Mozilla/5.0 (Windows NT 5.1; rv:17.0) Gecko/20100101 Firefox/17.0	Windows XP	Firefox 17	41,884
34	Mozilla/5.0 (Windows NT 6.1; rv:16.0) Gecko/20100101 Firefox/16.0	Windows 7	Firefox 16	41,502
35	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/28.0.1500.72 Safari/537.36	Windows 7 x64 Edition	Google Chrome 28	41,377
36	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2)	Windows 7	Internet Explorer 8	41,356
37	Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.1 (KHTML like Gecko) Chrome/21.0.1180.89 Safari/537.1	Windows XP	Google Chrome 21	41,007
38	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)	Windows 7	Internet Explorer 10	40,518
39	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML like Gecko) Chrome/22.0.1229.94 Safari/537.4	Windows 7 x64 Edition	Google Chrome 22	39,726
40	Mozilla/5.0 (iPad; CPU OS 511 like Mac OS X) AppleWebKit/534.46 (KHTML like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3	iPad iOS 511	Safari 5.1	38,337
41	Mozilla/5.0 (Windows NT 5.1; rv:21.0) Gecko/20100101 Firefox/21.0	Windows XP	Firefox 21	37,508
42	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML like Gecko) Chrome/23.0.1271.64 Safari/537.11	Windows 7 x64 Edition	Google Chrome 23	37,444
43	Mozilla/5.0 (Windows NT 5.1; rv:13.0) Gecko/20100101 Firefox/13.0.1	Windows XP	Firefox 13	37,138
44	Mozilla/5.0 (Windows NT 5.1; rv:22.0) Gecko/20100101 Firefox/22.0	Windows XP	Firefox 22	35,618
45	Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML like Gecko) Chrome/28.0.1500.95 Safari/537.36	Windows 7	Google Chrome 28	35,452
46	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Win64; x64; Trident/5.0)	Windows 7 x64 Edition	Internet Explorer 9	34,998
47	Mozilla/5.0 (Windows NT 5.1; rv:11.0) Gecko/20100101 Firefox/11.0	Windows XP	Firefox 11	34,991
48	Mozilla/5.0 (Windows NT 6.1; rv:19.0) Gecko/20100101 Firefox/19.0	Windows 7	Firefox 19	34,245
49	Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.4 (KHTML like Gecko) Chrome/22.0.1229.94 Safari/537.4	Windows 7	Google Chrome 22	33,710
50	Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.17 (KHTML like Gecko) Chrome/24.0.1312.57 Safari/537.17	Windows XP	Google Chrome 24	33,501
51	Mozilla/5.0 (Windows NT 5.1; rv:15.0) Gecko/20100101 Firefox/15.0.1	Windows XP	Firefox 15	33,225
52	Mozilla/5.0 (iPad; CPU OS 613 like Mac OS X) AppleWebKit/536.26 (KHTML like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25	iPad iOS 613	Safari 6	33,051
53	Mozilla/5.0 (Windows NT 5.1; rv:14.0) Gecko/20100101 Firefox/14.0.1	Windows XP	Firefox 14	32,503
54	Mozilla/5.0 (Windows NT 6.1; rv:20.0) Gecko/20100101 Firefox/20.0	Windows 7	Firefox 20	32,457
55	Mozilla/5.0 (Windows NT 5.1; rv:18.0) Gecko/20100101 Firefox/18.0	Windows XP	Firefox 18	32,216
56	Mozilla/5.0 (iPhone; CPU iPhone OS 613 like Mac OS X) AppleWebKit/536.26 (KHTML like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25	iPhone iOS 613	Safari 6	31,839
57	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)	Windows XP	Internet Explorer 8	31,779
58	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/27.0.1453.110 Safari/537.36	Windows 7 x64 Edition	Google Chrome 27	31,239
